Date,Open,High,Low,Close,Adj Close,Volume
2015-08-13,27635.25,27791.099609375,27496.2890625,27549.529296875,27549.529296875,15900
2015-08-14,27668.060546875,28100.640625,27643.19921875,28067.310546875,28067.310546875,13200
2015-08-17,28093.5390625,28095.970703125,27739.130859375,27878.26953125,27878.26953125,12300
2015-08-18,27949.130859375,28040.73046875,27747.400390625,27831.5390625,27831.5390625,11800
2015-08-19,27851.810546875,28021.390625,27721.25,27931.640625,27931.640625,10900
2015-08-20,27959.189453125,27964.599609375,27564.16015625,27607.8203125,27607.8203125,14400
2015-08-21,27440.099609375,27442.8203125,27131.439453125,27366.0703125,27366.0703125,14000
2015-08-24,26730.400390625,26730.400390625,25624.720703125,25741.560546875,25741.560546875,26000
2015-08-25,25916.259765625,26124.830078125,25298.419921875,26032.380859375,26032.380859375,21200
2015-08-26,26063.26953125,26156.609375,25657.560546875,25714.66015625,25714.66015625,13400
2015-08-27,26137.029296875,26302.76953125,25943.75,26231.189453125,26231.189453125,18600
2015-08-28,26542.83984375,26687.330078125,26270.169921875,26392.380859375,26392.380859375,12100
2015-08-31,26469.419921875,26504.73046875,26215.16015625,26283.08984375,26283.08984375,10000
2015-09-01,26127.0390625,26141.0703125,25579.880859375,25696.439453125,25696.439453125,14000
2015-09-02,25891.94921875,25939.369140625,25395.08984375,25453.560546875,25453.560546875,16200
2015-09-03,25614.689453125,25835.41015625,25555.76953125,25764.779296875,25764.779296875,11300
2015-09-04,25772.580078125,25775.380859375,25119.060546875,25201.900390625,25201.900390625,14100
2015-09-07,25302.98046875,25387.3203125,24851.76953125,24893.810546875,24893.810546875,12800
2015-09-08,24972.009765625,25411.0,24833.5390625,25317.869140625,25317.869140625,12600
2015-09-09,25682.869140625,25820.560546875,25553.609375,25719.580078125,25719.580078125,14400
2015-09-10,25522.9609375,25733.69921875,25287.5,25622.169921875,25622.169921875,14600
2015-09-11,25793.76953125,25875.9609375,25530.41015625,25610.2109375,25610.2109375,11800
